"Longitud" "Latitud" "Maximo"
-70.14080 -53.88530 86.20000
-68.88440 -53.89280 151.00000
-68.91830 -53.89670 109.50000
-70.07810 -53.99640 94.40000
-68.79970 -54.04970 121.50000
-68.95780 -54.05330 129.10000
-68.82420 -54.33780 130.70000
-68.82440 -54.50280 246.80000
-68.68250 -54.88170 79.40000
-68.32360 -54.92560 122.40000
-67.63920 -54.94690 114.70000
-67.67440 -54.97690 163.20000
-67.07580 -55.08220 118.30000
-70.33580 -18.35140 5.60000
-70.17860 -20.53970 1.00000
-70.44110 -23.45030 24.20000
-70.77420 -27.26390 9.60000
-71.20110 -29.91750 36.50000
-71.53420 -33.03670 48.40000
-70.68280 -33.44500 41.30000
-71.21670 -34.96640 128.20000
-72.04000 -36.58720 107.10000
-73.06220 -36.77920 75.80000
-72.63690 -38.77000 113.10000
-73.08080 -39.65060 291.60000
-73.06080 -40.60500 179.60000
-73.09780 -41.43500 226.60000
-72.66390 -45.39610 358.60000
-72.10860 -45.59390 163.60000
-71.69420 -45.91280 88.80000
-71.69280 -46.58080 63.50000
-72.58640 -47.24390 102.40000
-70.84500 -53.00330 63.60000
-67.61560 -54.93170 98.20000
-58.96420 -62.19970 264.20000
-68.90720 -22.49890 17.10000
-109.42700 -27.16060 266.60000
-70.79440 -33.39190 31.00000
-70.54780 -33.45440 59.60000
-78.83500 -33.63670 103.20000
-71.61420 -33.65500 47.90000
-72.42250 -37.40280 111.80000
-71.85250 -43.18890 258.00000
-71.80530 -43.61170 197.20000
-72.52890 -51.66720 143.70000
-70.32030 -53.18750 71.60000
-81.35800 13.35700 413.30000
-81.71700 12.58300 459.30000
-72.92600 11.52600 273.20000
-74.23100 11.12000 199.00000
-74.78100 10.89000 185.90000
-75.51300 10.44200 706.90000
-73.25000 10.43500 171.10000
-75.82600 8.82400 164.20000
-72.51200 7.92800 172.40000
-76.71600 7.81200 659.70000
-73.18500 7.12700 216.80000
-70.73700 7.06900 168.40000
-73.80700 7.02400 434.30000
-58.15000 6.80000 234.10000
-58.25000 6.50000 389.30000
-75.59100 6.22000 198.80000
-67.50000 6.16700 220.00000
-75.42300 6.16500 311.20000
-76.64100 5.69100 922.10000
-54.03300 5.50000 349.90000
-55.18800 5.45300 351.00000
-52.36700 4.83300 839.80000
-75.74000 4.81300 401.80000
-74.15000 4.70100 271.60000
-75.76600 4.45300 472.80000
-75.13300 4.42200 234.70000
-73.61400 4.16800 537.10000
-51.80000 3.88300 725.60000
-54.03300 3.63300 460.50000
-76.38300 3.55000 137.80000
-75.29400 2.95000 420.90000
-77.26700 1.41700 299.80000
-77.67200 0.86200 217.60000
-51.07200 0.05100 528.00000
-79.36700 0.01700 833.40000
-79.46700 -1.10000 707.40000
-48.47600 -1.37900 462.30000
-77.90000 -1.50000 528.20000
-52.20000 -3.20000 561.80000
-73.30000 -3.78300 423.50000
-49.72000 -3.78600 499.10000
-32.41700 -3.85000 357.00000
-79.20000 -4.03300 215.50000
-69.94300 -4.19300 637.30000
-42.81700 -5.05000 356.00000
-49.13800 -5.36900 583.70000
-78.48900 -7.13900 287.10000
-49.28000 -8.25000 314.50000
-35.78300 -9.51700 138.40000
-56.10000 -9.86700 532.10000
-66.11700 -11.00000 424.70000
-68.78000 -11.03000 569.40000
-69.22900 -12.61400 668.30000
-60.09800 -12.69400 554.30000
-64.66700 -13.06700 494.50000
-74.20400 -13.15500 173.30000
-64.11700 -13.33300 368.60000
-71.93900 -13.53600 272.60000
-65.43500 -13.76200 406.50000
-67.57000 -14.47000 904.90000
-64.91800 -14.81900 685.70000
-68.19200 -16.51300 203.90000
-43.91700 -19.83300 339.30000
-43.24400 -22.80900 231.30000
-46.65000 -23.61700 575.00000
-54.48700 -25.59600 346.60000
-56.52000 -30.40000 604.90000
-55.47600 -30.97500 437.50000
-57.96700 -31.43300 465.70000
-54.18300 -32.35000 309.80000
-56.51700 -32.80000 266.20000
-58.06700 -33.25000 258.20000
-56.50000 -33.35000 229.30000
-57.77100 -34.45600 214.50000
-54.30000 -34.48300 357.70000
-56.03100 -34.83800 321.70000
172.53200 -43.48900 134.30000
147.14500 -43.48920 121.00000
146.27100 -43.65780 177.20000
-176.56700 -43.95000 103.20000
168.33300 -46.41700 172.00000
51.85000 -46.43300 294.30000
37.86700 -46.88300 266.90000
70.25000 -49.35000 153.10000
166.30000 -50.48300 175.40000
-58.44700 -51.82300 230.40000
169.16700 -52.55000 212.30000
158.93700 -54.49900 180.90000
-68.29600 -54.84300 108.80000
-44.73300 -60.73300 223.70000
-58.88300 -62.18300 120.80000
-58.98300 -62.18300 232.90000
-58.63300 -62.23300 145.60000
-59.68300 -62.50000 166.40000
-56.68300 -63.31700 107.30000
-56.98300 -63.40000 61.70000
-64.08300 -64.76600 185.10000
93.01700 -66.55000 42.50000
77.95000 -68.58300 14.50000
76.38300 -69.38300 41.30000
11.83300 -70.76700 57.50000
106.86700 -78.45000 43.00000
