Longitud,Latitud,Promedio
-74.23100,11.12000,67.60000
-74.78100,10.89000,43.90000
-75.51300,10.44200,170.20000
-73.25000,10.43500,46.10000
-75.82600,8.82400,39.20000
-72.51200,7.92800,52.30000
-76.71600,7.81200,205.00000
-73.18500,7.12700,108.10000
-70.73700,7.06900,53.80000
-73.80700,7.02400,232.10000
-58.15000,6.80000,122.60000
-58.25000,6.50000,128.70000
-75.59100,6.22000,110.70000
-67.50000,6.16700,58.80000
-75.42300,6.16500,149.00000
-76.64100,5.69100,488.60000
-54.03300,5.50000,167.70000
-55.18800,5.45300,148.90000
-52.36700,4.83300,256.20000
-75.74000,4.81300,186.80000
-74.15000,4.70100,94.70000
-75.76600,4.45300,176.90000
-75.13300,4.42200,139.70000
-73.61400,4.16800,264.70000
-51.80000,3.88300,309.30000
-54.03300,3.63300,156.30000
-76.38300,3.55000,36.20000
-75.29400,2.95000,141.40000
-77.26700,1.41700,123.60000
-77.67200,0.86200,86.00000
-51.07200,0.05100,319.30000
-79.36700,0.01700,559.80000
-79.46700,-1.10000,441.70000
-48.47600,-1.37900,301.30000
-77.90000,-1.50000,387.50000
-52.20000,-3.20000,305.50000
-73.30000,-3.78300,289.40000
-49.72000,-3.78600,371.40000
-32.41700,-3.85000,124.70000
-79.20000,-4.03300,118.30000
-69.94300,-4.19300,324.70000
-42.81700,-5.05000,220.90000
-49.13800,-5.36900,374.30000
-78.48900,-7.13900,177.70000
-49.28000,-8.25000,245.00000
-35.78300,-9.51700,39.80000
-56.10000,-9.86700,324.40000
-66.11700,-11.00000,319.30000
-68.78000,-11.03000,268.90000
-69.22900,-12.61400,402.70000
-60.09800,-12.69400,279.90000
-64.66700,-13.06700,315.70000
-74.20400,-13.15500,115.80000
-64.11700,-13.33300,263.20000
-71.93900,-13.53600,131.40000
-65.43500,-13.76200,295.70000
-67.57000,-14.47000,447.70000
-64.91800,-14.81900,368.00000
-68.19200,-16.51300,125.60000
-43.91700,-19.83300,162.60000
-43.24400,-22.80900,117.20000
-46.65000,-23.61700,167.40000
